카테고리,질문,답
요금,기아멤버스 포인트로 충전요금을 결제하려면 어떻게 해야 하나요?,"SK 일렉링크 앱 로그인 후
① 기아멤버스 포인트를 연결할 멤버십카드 선택: 나→멤버십카드 관리→멤버십카드 옆 점 3개 모양 클릭→대표 멤버십카드 설정
② 선택한 대표 멤버십카드에 기아멤버스 포인트 결제등록: 나→마일리지&제휴포인트→우측 상단 점 3개 모양 클릭→기아멤버스 포인트 추가→기아멤버스 포인트 카드번호와 카드 비밀번호 입력"
요금,블루멤버스 포인트로 충전요금을 결제하려면 어떻게 해야 하나요?,"SK 일렉링크 앱 로그인 후
① 블루멤버스 포인트를 연결할 멤버십카드 선택: 나→멤버십카드 관리→멤버십카드 옆 점 3개 모양 클릭→대표 멤버십카드 설정
② 선택한 대표 멤버십카드에 블루멤버스 포인트 결제등록: 나→마일리지&제휴포인트→우측 상단 점 3개 모양 클릭→블루멤버스 포인트 추가→블루멤버스 포인트 카드번호와 카드 비밀번호 입력"
요금,"[럭키패스] 상시가입되나요? 매월 1일 정기결제라고 되어있는데, 월 중순에 가입할 수도 있나요?","네, 상시 가입되며 가입시점부터 당월말까지 사용기간을 고려하여 일할계산하여 구독료가 자동 결제됩니다."
요금,"[럭키패스] 매월 1일 정기결제라고 되어있는데, 구독시점에 따라 매월 구독료 결제 시기가 다른가요?",상시 가입이 되기 때문에 가입시점부터 해당월 말까지 사용기간을 일할계산하여 구독료가 자동결제됩니다. *ex. 6일 가입 시 5일을 제외하고 25일 치 럭키패스 멤버십 요금이 결제됨. 그리고 다음 달부터 매달 1일에 한 달분 구독료가 청구됩니다.
요금,"[럭키패스] 가입상품 이용량 초과시, 추가로 제공되는 혜택이 있는지, 정상충전요금의 3% 적립만 되는 건지 궁금해요.",가입상품 이용량 초과시 멤버십 일반충전료 정가로 이용하시게 됩니다. *포인트 적립: 할인받아 결제한 금액의 3%가 SK 일렉링크 크래딧으로 적립됨. SK 일렉링크 크래딧은 다음 달 정상결제 후 돌아오는 월요일에 일괄지급됩니다.
요금,"[럭키패스] 그린패스⟺라이트패스 간에 변경이 가능한가요? 변경할 수 있다면, 변경이 가능한 일자가 별도로 있나요?",요금제의 변경은 횟수 제한 없이 변경 가능합니다. 상품 변경은 익월부터 예약처리되기 때문에 당월은 기존 이용 상품으로 유지됩니다.
요금,[럭키패스] 충전기 이용에 지역 제한이 있나요?,"전국 SK 일렉링크 급속충전기 모두 사용가능합니다. 가입지역을 서울, 경기, 광주, 제주로 제한하는 것은 타지역에 급속충전기가 많지 않아 서비스이용에 불편을 드릴까봐입니다만, 자주 가는 SK 일렉링크 급속기가 있어서 럭키패스 구독을 원하시면, 고객 동의를 전제로 서비스를 구독하는 것이 가능합니다."
요금,[럭키패스] 럭키패스와 제휴 회원 대상 특별 할인이 중복으로 할인되나요?,"중복 적용되지 않습니다. 모든 청구는 럭키패스 정책이 가장 우선적으로 적용됩니다(예컨대, 기아회원 상시 10%할인과 중복적용되지 않습니다). *블루·레드멤버스 포인트로 충전요금 결제가 가능합니다."
요금,[럭키패스] EV전용 신용카드 등 카드사에서 제공하는 청구할인과 중복 할인 가능한가요?,"가능합니다. 카드사 충전료 할인은 고객님의 카드 사용실적에 따라 자사와 별개로 (카드사 자체)진행하는 이벤트입니다. *구독료는 충전료가 아닌, 멤버십 혜택 이용을 위한 정액 월회비이므로, 구독료는 신한EV카드 등 신용카드 청구할인 적용이 불가합니다."
요금,[럭키패스] 요금제 변경/취소는 어떻게 하면 되나요?,"로그인 상태에서 홈 화면 하단의 ‘스토어’ 버튼을 클릭합니다. ‘이번 달 …원의 할인혜택을 받고 계십니다’ 우측의 ‘화살표(→)’를 선택하고, ‘해지하기’ 혹은 ‘변경하기’ 버튼을 누릅니다."
